timeslot,energy_kWh
1-0,0.0
1-1,0.0
1-2,0.0
1-3,0.0
1-4,0.0
1-5,0.0
1-6,0.0
1-7,0.0
1-8,0.029304376145223236
1-9,0.3062392854204271
1-10,0.6868379525111664
1-11,1.0315621099612848
1-12,1.2382212142618718
1-13,1.2420106338341728
1-14,1.035528524044609
1-15,0.6712383714430235
1-16,0.24561256306574508
1-17,0.0
1-18,0.0
1-19,0.0
1-20,0.0
1-21,0.0
1-22,0.0
1-23,0.0
2-0,0.0
2-1,0.0
2-2,0.0
2-3,0.0
2-4,0.0
2-5,0.0
2-6,0.0
2-7,0.0
2-8,0.22942010701090354
2-9,0.7326459662020035
2-10,1.3131087408821223
2-11,1.8284075634983203
2-12,2.1490345218919797
2-13,2.1912736827998476
2-14,1.9385108516480187
2-15,1.445537000382609
2-16,0.8247503921833356
2-17,0.21776287094485272
2-18,0.0
2-19,0.0
2-20,0.0
2-21,0.0
2-22,0.0
2-23,0.0
3-0,0.0
3-1,0.0
3-2,0.0
3-3,0.0
3-4,0.0
3-5,0.0
3-6,0.0
3-7,0.16030055970649948
3-8,0.6368225312707718
3-9,1.2853873679642536
3-10,1.970311203818399
3-11,2.5465360017586125
3-12,2.8904875266419148
3-13,2.9263712698476425
3-14,2.642311772379762
3-15,2.0929015907393
3-16,1.3876174878793803
3-17,0.6675681709954475
3-18,0.10042478480911238
3-19,0.0
3-20,0.0
3-21,0.0
3-22,0.0
3-23,0.0
4-0,0.0
4-1,0.0
4-2,0.0
4-3,0.0
4-4,0.0
4-5,0.0
4-6,0.0
4-7,0.11086661332232509
4-8,0.516871025678562
4-9,1.1606240526125642
4-10,1.9256555233223294
4-11,2.673148609077314
4-12,3.2670346536057324
4-13,3.5985917508763148
4-14,3.6061003400494474
4-15,3.2860026384892698
4-16,2.6935485993593904
4-17,1.93281161930719
4-18,1.1378788702621392
4-19,0.44861650760929006
4-20,0.032777140888057416
4-21,0.0
4-22,0.0
4-23,0.0
5-0,0.0
5-1,0.0
5-2,0.0
5-3,0.0
5-4,0.0
5-5,0.0
5-6,0.016072717988807828
5-7,0.24292589990284352
5-8,0.7497231422094012
5-9,1.4517448557534074
5-10,2.235191755261064
5-11,2.973073295411332
5-12,3.545711371567655
5-13,3.8600633752318982
5-14,3.8647447436563396
5-15,3.5583254938240048
5-16,2.989561199574275
5-17,2.2495211187715283
5-18,1.4568844468026827
5-19,0.7387787328761457
5-20,0.21025424876432025
5-21,0.0008263920698457365
5-22,0.0
5-23,0.0
6-0,0.0
6-1,0.0
6-2,0.0
6-3,0.0
6-4,0.0
6-5,0.0
6-6,0.01680633295463855
6-7,0.26711775641371444
6-8,0.7924232169513116
6-9,1.5006881638854974
6-10,2.2833670823231924
6-11,3.0205162479356913
6-12,3.5991651482785874
6-13,3.9306198381209754
6-14,3.964047925642258
6-15,3.6942644178247726
6-16,3.1625258904088267
6-17,2.450211341775292
6-18,1.666357615451508
6-19,0.930958553264957
6-20,0.35658589786559824
6-21,0.03823518153486413
6-22,0.0
6-23,0.0
7-0,0.0
7-1,0.0
7-2,0.0
7-3,0.0
7-4,0.0
7-5,0.0
7-6,0.007706911405165467
7-7,0.20464462123878419
7-8,0.6795793349918974
7-9,1.351096976342801
7-10,2.1132689946707393
7-11,2.8458923031046823
7-12,3.4333991978723732
7-13,3.783038056842928
7-14,3.839464696817666
7-15,3.593448931052107
7-16,3.083326643488721
7-17,2.3889689447366314
7-18,1.6192171599373337
7-19,0.894760329885172
7-20,0.32914887377826696
7-21,0.027315754917427652
7-22,0.0
