timeslot,energy_kWh
1-1,45.40588521481269
1-8,45.40588521481269
1-15,45.40588521481269
1-22,45.40588521481269
1-29,70.94147188183858
2-5,90.09316188210805
2-12,90.09316188210805
2-19,90.09316188210805
2-26,115.83951616357628
3-5,135.14928187467765
3-12,135.14928187467765
3-19,135.14928187467765
3-26,142.2327695513264
4-2,184.7336956112195
4-9,184.7336956112195
4-16,184.7336956112195
4-23,184.7336956112195
4-30,207.25094468245328
5-7,211.00381952765892
5-14,211.00381952765892
5-21,211.00381952765892
5-28,215.59528299055728
6-4,221.7172342744218
6-11,221.7172342744218
6-18,221.7172342744218
6-25,220.23762139487278
7-2,211.35994411757875
7-9,211.35994411757875
7-16,211.35994411757875
7-23,211.35994411757875
7-30,207.92588557192076
8-6,206.55226215365755
8-13,206.55226215365755
8-20,206.55226215365755
8-27,192.85333626139786
9-3,158.6060215307483
9-10,158.6060215307483
9-17,158.6060215307483
9-24,158.6060215307483
10-1,107.19350156594989
10-8,107.19350156594989
10-15,107.19350156594989
10-22,107.19350156594989
10-29,76.2208372311847
11-5,52.991338980110775
11-12,52.991338980110775
11-19,52.991338980110775
11-26,47.61894516645901
12-3,34.18796063232955
12-10,34.18796063232955
12-17,34.18796063232955
12-24,34.18796063232955
12-31,4.883994376047075
