Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Denmark,Denmark,DK,127.84,186.59,81.89,76.90,entsoe.eu
2023-02-01 00:00:00,Denmark,Denmark,DK,111.31,172.79,83.53,77.85,entsoe.eu
2023-03-01 00:00:00,Denmark,Denmark,DK,122.67,182.40,82.16,77.72,entsoe.eu
2023-04-01 00:00:00,Denmark,Denmark,DK,85.35,140.98,87.43,80.40,entsoe.eu
2023-05-01 00:00:00,Denmark,Denmark,DK,60.16,111.32,90.57,84.75,entsoe.eu
2023-06-01 00:00:00,Denmark,Denmark,DK,70.41,117.71,89.89,79.65,entsoe.eu
2023-07-01 00:00:00,Denmark,Denmark,DK,57.03,96.87,92.04,82.30,entsoe.eu
2023-08-01 00:00:00,Denmark,Denmark,DK,83.06,124.77,88.51,78.93,entsoe.eu
2023-09-01 00:00:00,Denmark,Denmark,DK,63.12,108.15,90.90,84.67,entsoe.eu
2023-10-01 00:00:00,Denmark,Denmark,DK,59.90,92.67,91.41,84.16,entsoe.eu
2023-11-01 00:00:00,Denmark,Denmark,DK,141.33,196.09,80.41,74.67,entsoe.eu
2023-12-01 00:00:00,Denmark,Denmark,DK,154.36,214.38,78.94,75.80,entsoe.eu
