Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Spain,Spain,ES,93.79,126.40,83.60,61.16,entsoe.eu
2023-02-01 00:00:00,Spain,Spain,ES,158.24,205.78,71.15,48.53,entsoe.eu
2023-03-01 00:00:00,Spain,Spain,ES,118.31,156.88,79.25,56.45,entsoe.eu
2023-04-01 00:00:00,Spain,Spain,ES,115.43,154.69,79.26,56.08,entsoe.eu
2023-05-01 00:00:00,Spain,Spain,ES,125.35,167.77,76.97,57.01,entsoe.eu
2023-06-01 00:00:00,Spain,Spain,ES,159.07,208.91,70.36,49.02,entsoe.eu
2023-07-01 00:00:00,Spain,Spain,ES,143.03,189.61,73.16,48.20,Electricity Maps Estimation; entsoe.eu
2023-08-01 00:00:00,Spain,Spain,ES,149.54,196.81,72.59,48.24,entsoe.eu
2023-09-01 00:00:00,Spain,Spain,ES,164.74,214.46,69.67,43.62,entsoe.eu
2023-10-01 00:00:00,Spain,Spain,ES,142.35,186.54,74.19,52.81,entsoe.eu
2023-11-01 00:00:00,Spain,Spain,ES,98.60,133.24,82.21,63.48,entsoe.eu
2023-12-01 00:00:00,Spain,Spain,ES,92.44,127.27,81.62,56.74,entsoe.eu
