Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Finland,Finland,FI,85.16,125.90,87.17,56.54,Electricity Maps Estimation; entsoe.eu
2023-02-01 00:00:00,Finland,Finland,FI,85.61,126.31,86.58,58.44,Electricity Maps Estimation; entsoe.eu
2023-03-01 00:00:00,Finland,Finland,FI,81.59,119.88,87.48,51.71,Electricity Maps Estimation; entsoe.eu
2023-04-01 00:00:00,Finland,Finland,FI,49.40,83.51,91.69,46.38,Electricity Maps Estimation; entsoe.eu
2023-05-01 00:00:00,Finland,Finland,FI,26.63,53.32,95.11,54.08,entsoe.eu
2023-06-01 00:00:00,Finland,Finland,FI,18.32,40.49,96.22,45.00,entsoe.eu
2023-07-01 00:00:00,Finland,Finland,FI,13.38,37.62,96.91,42.07,entsoe.eu
2023-08-01 00:00:00,Finland,Finland,FI,33.69,62.78,94.13,49.49,entsoe.eu
2023-09-01 00:00:00,Finland,Finland,FI,18.70,41.07,96.28,55.55,entsoe.eu
2023-10-01 00:00:00,Finland,Finland,FI,27.58,53.97,95.28,52.56,entsoe.eu
2023-11-01 00:00:00,Finland,Finland,FI,58.90,92.28,90.80,51.01,entsoe.eu
2023-12-01 00:00:00,Finland,Finland,FI,68.09,103.60,89.08,47.78,entsoe.eu
