Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Indonesia,Indonesia,ID,580.18,652.36,12.90,12.90,Electricity Maps Estimation
2023-02-01 00:00:00,Indonesia,Indonesia,ID,580.18,652.36,12.90,12.90,Electricity Maps Estimation
2023-03-01 00:00:00,Indonesia,Indonesia,ID,580.18,652.36,12.90,12.90,Electricity Maps Estimation
2023-04-01 00:00:00,Indonesia,Indonesia,ID,580.18,652.36,12.90,12.90,Electricity Maps Estimation
2023-05-01 00:00:00,Indonesia,Indonesia,ID,580.18,652.36,12.90,12.90,Electricity Maps Estimation
2023-06-01 00:00:00,Indonesia,Indonesia,ID,580.18,652.36,12.90,12.90,Electricity Maps Estimation
2023-07-01 00:00:00,Indonesia,Indonesia,ID,580.18,652.36,12.90,12.90,Electricity Maps Estimation
2023-08-01 00:00:00,Indonesia,Indonesia,ID,580.18,652.36,12.90,12.90,Electricity Maps Estimation
2023-09-01 00:00:00,Indonesia,Indonesia,ID,580.18,652.36,12.90,12.90,Electricity Maps Estimation
2023-10-01 00:00:00,Indonesia,Indonesia,ID,580.18,652.36,12.90,12.90,Electricity Maps Estimation
2023-11-01 00:00:00,Indonesia,Indonesia,ID,580.18,652.36,12.90,12.90,Electricity Maps Estimation
2023-12-01 00:00:00,Indonesia,Indonesia,ID,580.18,652.36,12.90,12.90,Electricity Maps Estimation
