Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Israel,Israel,IL,464.22,563.66,4.73,4.73,Electricity Maps Estimation
2023-02-01 00:00:00,Israel,Israel,IL,462.17,561.37,5.15,5.15,Electricity Maps Estimation
2023-03-01 00:00:00,Israel,Israel,IL,460.67,559.69,5.46,5.46,Electricity Maps Estimation
2023-04-01 00:00:00,Israel,Israel,IL,460.00,558.93,5.60,5.60,Electricity Maps Estimation
2023-05-01 00:00:00,Israel,Israel,IL,460.11,559.06,5.58,5.58,Electricity Maps Estimation
2023-06-01 00:00:00,Israel,Israel,IL,460.57,559.58,5.48,5.48,Electricity Maps Estimation
2023-07-01 00:00:00,Israel,Israel,IL,461.47,560.58,5.30,5.30,Electricity Maps Estimation
2023-08-01 00:00:00,Israel,Israel,IL,462.58,561.82,5.07,5.07,Electricity Maps Estimation
2023-09-01 00:00:00,Israel,Israel,IL,460.86,559.90,5.42,5.42,Electricity Maps Estimation
2023-10-01 00:00:00,Israel,Israel,IL,457.99,556.69,6.01,6.01,Electricity Maps Estimation
2023-11-01 00:00:00,Israel,Israel,IL,462.07,561.26,5.17,5.17,Electricity Maps Estimation
2023-12-01 00:00:00,Israel,Israel,IL,463.06,562.36,4.97,4.97,Electricity Maps Estimation
