Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Latvia,Latvia,LV,132.29,171.47,76.02,73.23,entsoe.eu
2023-02-01 00:00:00,Latvia,Latvia,LV,193.55,248.30,63.43,59.87,Electricity Maps Estimation; entsoe.eu
2023-03-01 00:00:00,Latvia,Latvia,LV,151.33,194.33,71.60,67.87,entsoe.eu
2023-04-01 00:00:00,Latvia,Latvia,LV,29.48,49.21,95.35,93.36,Electricity Maps Estimation; entsoe.eu
2023-05-01 00:00:00,Latvia,Latvia,LV,101.80,133.72,85.54,72.50,entsoe.eu
2023-06-01 00:00:00,Latvia,Latvia,LV,182.85,232.59,70.19,53.07,Electricity Maps Estimation; entsoe.eu
2023-07-01 00:00:00,Latvia,Latvia,LV,128.43,161.81,79.01,51.42,entsoe.eu
2023-08-01 00:00:00,Latvia,Latvia,LV,201.06,243.25,64.68,45.46,Electricity Maps Estimation; entsoe.eu
2023-09-01 00:00:00,Latvia,Latvia,LV,214.85,266.63,60.32,44.30,entsoe.eu
2023-10-01 00:00:00,Latvia,Latvia,LV,164.94,211.87,69.89,55.68,entsoe.eu
2023-11-01 00:00:00,Latvia,Latvia,LV,203.64,255.71,62.56,54.37,entsoe.eu
2023-12-01 00:00:00,Latvia,Latvia,LV,197.29,251.73,62.28,58.07,Electricity Maps Estimation; entsoe.eu
