Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Nicaragua,Nicaragua,NI,135.34,225.50,70.36,70.35,Electricity Maps Estimation; cndc.org.ni
2023-02-01 00:00:00,Nicaragua,Nicaragua,NI,87.09,200.94,78.92,78.92,cndc.org.ni
2023-03-01 00:00:00,Nicaragua,Nicaragua,NI,121.83,252.60,70.81,70.81,Electricity Maps Estimation; cndc.org.ni
2023-04-01 00:00:00,Nicaragua,Nicaragua,NI,154.37,298.17,62.67,62.67,Electricity Maps Estimation; cndc.org.ni
2023-05-01 00:00:00,Nicaragua,Nicaragua,NI,201.33,362.26,51.54,51.54,Electricity Maps Estimation; cndc.org.ni
2023-06-01 00:00:00,Nicaragua,Nicaragua,NI,221.25,395.40,45.98,45.98,Electricity Maps Estimation; cndc.org.ni
2023-07-01 00:00:00,Nicaragua,Nicaragua,NI,198.44,352.53,52.08,52.08,Electricity Maps Estimation; cndc.org.ni
2023-08-01 00:00:00,Nicaragua,Nicaragua,NI,242.81,407.39,41.32,41.32,Electricity Maps Estimation; cndc.org.ni
2023-09-01 00:00:00,Nicaragua,Nicaragua,NI,273.77,442.40,33.94,33.94,Electricity Maps Estimation; cndc.org.ni
2023-10-01 00:00:00,Nicaragua,Nicaragua,NI,270.89,437.78,34.91,34.91,Electricity Maps Estimation; cndc.org.ni
2023-11-01 00:00:00,Nicaragua,Nicaragua,NI,169.95,300.35,58.59,58.59,Electricity Maps Estimation; cndc.org.ni
2023-12-01 00:00:00,Nicaragua,Nicaragua,NI,105.03,230.85,74.13,74.13,Electricity Maps Estimation; cndc.org.ni
