Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Netherlands,Netherlands,NL,250.99,316.32,55.71,51.71,Electricity Maps Estimation
2023-02-01 00:00:00,Netherlands,Netherlands,NL,277.73,350.50,50.00,47.02,Electricity Maps Estimation
2023-03-01 00:00:00,Netherlands,Netherlands,NL,206.98,266.79,63.13,59.57,Electricity Maps Estimation
2023-04-01 00:00:00,Netherlands,Netherlands,NL,271.19,344.72,50.90,50.53,Electricity Maps Estimation
2023-05-01 00:00:00,Netherlands,Netherlands,NL,255.73,326.82,53.51,50.20,Electricity Maps Estimation
2023-06-01 00:00:00,Netherlands,Netherlands,NL,206.46,269.00,62.14,57.06,Electricity Maps Estimation
2023-07-01 00:00:00,Netherlands,Netherlands,NL,203.10,264.05,62.50,58.25,Electricity Maps Estimation
2023-08-01 00:00:00,Netherlands,Netherlands,NL,243.63,312.73,54.97,50.42,Electricity Maps Estimation
2023-09-01 00:00:00,Netherlands,Netherlands,NL,238.00,306.11,56.24,51.75,Electricity Maps Estimation
2023-10-01 00:00:00,Netherlands,Netherlands,NL,185.79,240.96,66.78,62.28,Electricity Maps Estimation
2023-11-01 00:00:00,Netherlands,Netherlands,NL,200.72,255.73,65.81,61.15,Electricity Maps Estimation
2023-12-01 00:00:00,Netherlands,Netherlands,NL,162.82,212.25,69.64,65.85,Electricity Maps Estimation
