Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Portugal,Portugal,PT,63.34,97.93,87.89,86.79,entsoe.eu
2023-02-01 00:00:00,Portugal,Portugal,PT,128.14,184.32,69.60,66.89,Electricity Maps Estimation; entsoe.eu
2023-03-01 00:00:00,Portugal,Portugal,PT,92.38,139.82,80.26,73.86,Electricity Maps Estimation; entsoe.eu
2023-04-01 00:00:00,Portugal,Portugal,PT,100.91,151.99,79.06,71.05,Electricity Maps Estimation; entsoe.eu
2023-05-01 00:00:00,Portugal,Portugal,PT,108.48,160.93,76.46,70.08,Electricity Maps Estimation; entsoe.eu
2023-06-01 00:00:00,Portugal,Portugal,PT,146.79,209.41,66.27,60.36,Electricity Maps Estimation; entsoe.eu
2023-07-01 00:00:00,Portugal,Portugal,PT,144.45,206.38,66.66,60.11,Electricity Maps Estimation; entsoe.eu
2023-08-01 00:00:00,Portugal,Portugal,PT,132.82,192.42,70.01,63.30,Electricity Maps Estimation; entsoe.eu
2023-09-01 00:00:00,Portugal,Portugal,PT,150.12,212.32,66.34,58.57,Electricity Maps Estimation; entsoe.eu
2023-10-01 00:00:00,Portugal,Portugal,PT,100.39,146.81,79.15,75.02,entsoe.eu
2023-11-01 00:00:00,Portugal,Portugal,PT,67.79,102.33,86.87,85.15,entsoe.eu
2023-12-01 00:00:00,Portugal,Portugal,PT,67.93,103.92,87.14,82.14,Electricity Maps Estimation; entsoe.eu
