Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Singapore,Singapore,SG,372.46,491.48,3.95,3.95, ema.gov.sg; emcsg.com; Electricity Maps Estimation
2023-02-01 00:00:00,Singapore,Singapore,SG,371.55,490.32,4.01,4.01, ema.gov.sg; emcsg.com; Electricity Maps Estimation
2023-03-01 00:00:00,Singapore,Singapore,SG,370.70,489.37,3.96,3.96, ema.gov.sg; emcsg.com
2023-04-01 00:00:00,Singapore,Singapore,SG,369.63,488.57,3.78,3.78, ema.gov.sg; emcsg.com; Electricity Maps Estimation
2023-05-01 00:00:00,Singapore,Singapore,SG,367.72,486.41,3.71,3.71, ema.gov.sg; emcsg.com; Electricity Maps Estimation
2023-06-01 00:00:00,Singapore,Singapore,SG,367.50,486.31,3.13,3.13, ema.gov.sg; emcsg.com; Electricity Maps Estimation
2023-07-01 00:00:00,Singapore,Singapore,SG,367.87,486.81,2.83,2.83, ema.gov.sg; emcsg.com; Electricity Maps Estimation
2023-08-01 00:00:00,Singapore,Singapore,SG,366.91,485.65,3.12,3.12, ema.gov.sg; emcsg.com; Electricity Maps Estimation
2023-09-01 00:00:00,Singapore,Singapore,SG,367.57,486.29,3.65,3.65, ema.gov.sg; emcsg.com; Electricity Maps Estimation
2023-10-01 00:00:00,Singapore,Singapore,SG,366.81,485.34,4.00,4.00, ema.gov.sg; emcsg.com; Electricity Maps Estimation
2023-11-01 00:00:00,Singapore,Singapore,SG,368.18,487.01,3.57,3.57, ema.gov.sg; emcsg.com; Electricity Maps Estimation
2023-12-01 00:00:00,Singapore,Singapore,SG,368.51,487.39,3.47,3.47, ema.gov.sg; emcsg.com; Electricity Maps Estimation
