Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Turkey,Turkey,TR,432.69,503.42,29.04,28.44,epias.com.tr
2023-02-01 00:00:00,Turkey,Turkey,TR,414.10,485.15,30.36,29.99,epias.com.tr
2023-03-01 00:00:00,Turkey,Turkey,TR,362.86,425.03,41.65,41.41,epias.com.tr
2023-04-01 00:00:00,Turkey,Turkey,TR,294.42,350.78,52.84,52.63,Electricity Maps Estimation; epias.com.tr
2023-05-01 00:00:00,Turkey,Turkey,TR,313.14,372.40,48.90,48.78,epias.com.tr
2023-06-01 00:00:00,Turkey,Turkey,TR,331.95,385.06,51.08,50.99,epias.com.tr
2023-07-01 00:00:00,Turkey,Turkey,TR,369.21,432.37,39.85,39.76,Electricity Maps Estimation; epias.com.tr
2023-08-01 00:00:00,Turkey,Turkey,TR,381.76,451.40,34.23,34.16,Electricity Maps Estimation; epias.com.tr
2023-09-01 00:00:00,Turkey,Turkey,TR,396.00,463.38,34.70,34.67,epias.com.tr
2023-10-01 00:00:00,Turkey,Turkey,TR,415.85,483.38,33.37,33.30,epias.com.tr
2023-11-01 00:00:00,Turkey,Turkey,TR,395.43,458.15,38.15,38.08,epias.com.tr
2023-12-01 00:00:00,Turkey,Turkey,TR,354.27,413.56,44.63,44.46,epias.com.tr
