Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,USA,USA,US,343.79,408.17,42.59,21.64,
2023-02-01 00:00:00,USA,USA,US,321.93,386.24,44.25,24.20,
2023-03-01 00:00:00,USA,USA,US,319.16,383.19,44.58,24.97,
2023-04-01 00:00:00,USA,USA,US,300.10,363.10,46.79,27.25,
2023-05-01 00:00:00,USA,USA,US,309.32,375.10,44.62,25.11,
2023-06-01 00:00:00,USA,USA,US,347.07,416.76,39.00,19.92,
2023-07-01 00:00:00,USA,USA,US,381.32,454.78,34.21,17.22,
2023-08-01 00:00:00,USA,USA,US,381.69,455.04,34.14,17.13,
2023-09-01 00:00:00,USA,USA,US,359.32,430.23,37.15,18.12,
2023-10-01 00:00:00,USA,USA,US,338.93,406.21,40.90,21.29,
2023-11-01 00:00:00,USA,USA,US,337.91,404.57,41.54,21.53,
2023-12-01 00:00:00,USA,USA,US,342.19,409.39,40.96,20.56,
